Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp_b,dtom_b,slc17a6_b,slc32a1_b,slc5a7_b,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3
287,MC_SC_17_s03L_180,7,6,4,False,False,False,True,False,0,9,0,2,15,17,20,9,99,0,14,164,13
288,MC_SC_17_s03L_181,7,3,2,False,False,False,True,False,1,2,20,2,5,9,26,0,0,0,0,6,20
289,MC_SC_17_s03L_182,7,5,3,False,False,True,False,False,3,17,10,90,115,21,70,24,12,106,28,21,12
290,MC_SC_17_s03L_183,7,5,3,False,False,True,False,False,126,26,22,8,70,3,56,37,67,47,16,18,33
292,MC_SC_17_s03L_184,7,5,4,False,False,True,False,False,0,26,4,7,7,4,1,19,57,93,18,8,1
293,MC_SC_17_s03L_185,7,6,4,False,False,True,False,False,91,13,34,30,73,6,79,45,39,3,33,67,28
295,MC_SC_17_s03L_186,7,4,2,False,False,True,False,False,42,41,28,49,105,22,56,42,25,23,19,59,10
296,MC_SC_17_s03L_187,7,5,3,False,False,True,False,False,131,56,30,100,58,12,4,28,21,181,86,5,58
297,MC_SC_17_s03L_188,7,4,2,False,False,True,False,False,5,9,7,27,10,0,38,22,45,56,6,3,6
298,MC_SC_17_s03L_189,7,3,1,False,False,False,True,False,0,20,39,19,2,9,2,12,0,29,28,9,8
299,MC_SC_17_s03L_190,7,3,2,False,False,True,False,False,106,30,23,69,65,8,33,23,3,7,26,63,65
300,MC_SC_17_s03L_191,7,4,3,False,False,True,False,False,1,62,95,3,21,17,51,13,61,79,39,6,63
301,MC_SC_17_s03L_192,7,6,2,False,False,True,False,False,118,47,62,138,176,33,62,9,0,102,67,34,76
302,MC_SC_17_s03L_193,7,2,2,False,False,False,True,False,0,13,30,4,0,3,26,19,7,0,1,48,31
304,MC_SC_17_s03L_194,7,3,2,False,False,False,True,False,0,33,58,7,1,43,10,30,49,49,38,55,29
306,MC_SC_17_s03L_195,7,2,2,False,False,True,False,False,73,25,29,72,67,23,49,18,3,4,35,55,55
307,MC_SC_17_s03L_196,7,4,2,False,False,False,True,False,1,45,75,1,22,39,56,23,34,20,14,90,33
308,MC_SC_17_s03L_197,7,4,2,False,False,False,True,False,23,77,53,40,10,30,57,15,35,6,37,46,55
309,MC_SC_17_s03L_198,7,1,1,False,False,False,True,False,4,6,18,0,4,11,5,5,13,7,1,0,5
310,MC_SC_17_s03L_199,7,7,6,False,False,False,True,False,1,25,38,4,20,61,20,10,29,11,16,97,33
311,MC_SC_17_s03L_200,7,7,2,False,False,True,False,False,0,43,39,2,20,1,57,14,83,5,18,49,7
312,MC_SC_17_s03L_201,7,1,1,False,False,False,True,False,0,0,31,1,6,3,26,13,15,0,4,42,31
314,MC_SC_17_s03L_202,7,7,5,False,False,True,False,False,0,14,26,8,7,47,19,31,29,54,30,66,42
315,MC_SC_17_s03L_203,8,4,3,False,False,True,False,False,12,29,32,5,7,63,70,16,29,51,13,7,22
318,MC_SC_17_s03L_204,8,5,2,False,False,False,False,True,159,20,89,3,27,26,83,10,9,0,0,125,36
322,MC_SC_17_s03L_205,8,4,3,False,False,True,False,False,2,32,28,6,20,23,32,19,65,2,13,85,4
323,MC_SC_17_s03L_206,8,6,4,False,False,True,False,False,3,32,19,1,1,2,7,2,56,27,6,42,4
324,MC_SC_17_s03L_207,8,5,3,False,False,False,True,False,2,18,30,14,3,14,18,11,77,196,66,31,56
327,MC_SC_17_s03L_208,8,7,5,False,False,True,False,False,2,20,47,6,25,15,41,33,43,89,45,25,9
330,MC_SC_17_s03L_209,8,7,4,False,False,False,True,False,1,142,10,56,22,136,16,20,80,173,76,8,26
331,MC_SC_17_s03L_210,8,6,5,False,False,True,False,False,143,68,64,20,199,43,75,11,64,114,85,34,138
332,MC_SC_17_s03L_211,8,3,3,False,False,True,False,False,59,15,9,3,75,20,39,22,26,12,6,17,19
333,MC_SC_17_s03L_212,8,4,3,False,False,True,False,False,0,53,55,4,5,16,30,11,50,30,12,1,60
334,MC_SC_17_s03L_213,8,3,2,False,False,True,False,False,0,21,0,1,1,49,19,11,21,0,3,22,1
335,MC_SC_17_s03L_214,8,5,3,False,False,True,False,False,87,31,14,102,41,13,6,33,14,31,35,7,19
336,MC_SC_17_s03L_215,8,4,3,False,False,True,False,False,0,3,24,11,90,10,23,14,49,52,35,22,57
337,MC_SC_17_s03L_216,8,4,2,False,False,True,False,False,5,34,12,7,2,3,83,37,46,3,48,42,9
339,MC_SC_17_s03L_217,8,6,4,False,False,False,True,False,1,104,34,11,1,53,4,17,12,128,40,2,9
340,MC_SC_17_s03L_218,8,3,2,False,False,True,False,False,0,12,2,24,0,10,0,9,15,2,13,79,1
341,MC_SC_17_s03L_219,8,5,3,False,False,True,False,False,53,25,13,34,35,22,29,11,21,38,26,19,17
342,MC_SC_17_s03L_220,8,5,3,False,False,True,False,False,72,55,36,85,67,36,33,25,6,66,29,22,33
343,MC_SC_17_s03L_221,8,6,4,False,False,False,True,False,4,70,8,7,88,24,4,26,15,48,54,46,3
344,MC_SC_17_s03L_222,8,4,2,False,False,False,True,False,0,91,15,1,4,89,67,10,90,28,65,18,42
346,MC_SC_17_s03L_223,8,6,4,False,False,False,True,False,0,14,38,7,63,39,9,12,60,0,42,25,9
347,MC_SC_17_s03L_224,8,3,2,False,False,True,True,False,1,15,3,26,11,2,17,6,24,0,4,21,15
348,MC_SC_17_s03L_225,8,7,3,False,False,True,False,False,0,71,43,33,112,25,4,20,81,0,30,4,26
350,MC_SC_17_s03L_226,8,2,1,False,False,True,False,False,87,14,4,3,25,22,32,40,34,38,19,35,43
351,MC_SC_17_s03L_227,8,7,5,False,False,False,True,False,1,35,55,17,90,16,15,12,58,217,37,8,35
352,MC_SC_17_s03L_228,8,3,2,False,False,False,True,False,2,14,6,6,72,0,3,17,10,41,18,38,37
